instance,cp-greedy_SR_mean,cp-greedy:b3:fail_SR_mean,cp-greedy_SR_std,cp-greedy:b3:fail_SR_std,cp-greedy_DR_mean,cp-greedy:b3:fail_DR_mean,cp-greedy_DR_std,cp-greedy:b3:fail_DR_std
8s,0.8240,0.8240,0.0332,0.0380,0.5323,0.5686,0.0205,0.0186
8medium,0.5760,0.6100,0.0356,0.0523,0.3933,0.4365,0.0268,0.0420
