instance,cp-greedy_SR_mean,cp-greedy:b3:fail_SR_mean,cp-greedy_SR_std,cp-greedy:b3:fail_SR_std,cp-greedy_DR_mean,cp-greedy:b3:fail_DR_mean,cp-greedy_DR_std,cp-greedy:b3:fail_DR_std
4s,0.7268,0.7570,0.0373,0.0459,0.6109,0.6766,0.0311,0.0407
4medium,0.3845,0.0000,0.0518,0.0000,0.3342,0.0000,0.0446,0.0000
4hard,0.3075,0.3118,0.0483,0.0458,0.2578,0.2755,0.0409,0.0407
8s,0.8318,0.8398,0.0397,0.0358,0.5361,0.5769,0.0314,0.0239
8medium,0.5870,0.6258,0.0408,0.0503,0.4016,0.4491,0.0308,0.0375
8hard,0.4492,0.4492,0.0419,0.0519,0.3314,0.3460,0.0305,0.0405
